,names,genres,releaseDates,playenv_strs,ratingScores,ratingAmts,newPosts,community_Links,rating_Links
3788,파워 스톤 2,"장르: 격투, 액션",일정: 출시 (2000.04.01),ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3550,http://bbs.ruliweb.com/game/3550/review
3789,더 타이핑 오브 더 데드,"장르: 슈팅, 액션",일정: 출시 (2000.03.30),ETC ETC,0,0,0,http://bbs.ruliweb.com/game/3551,http://bbs.ruliweb.com/game/3551/review
3790,더 킹 오브 파이터즈 99: 에볼루션,"장르: 격투, 액션",일정: 출시 (1999.07.22),ETC,0,0,0,http://bbs.ruliweb.com/game/3552,http://bbs.ruliweb.com/game/3552/review
3791,슈퍼 마그네틱 뉴뉴,장르: 액션,일정: 출시 (2000.06.12),ETC,0,0,0,http://bbs.ruliweb.com/game/3553,http://bbs.ruliweb.com/game/3553/review
3792,댄스 댄스 레볼루션 2nd Mix 드림캐스트 에디션,"장르: 리듬, 액션",일정: 출시 (2000.02.17),ETC,0,0,0,http://bbs.ruliweb.com/game/3554,http://bbs.ruliweb.com/game/3554/review
3793,젤다의 전설: 무쥬라의 가면,장르: 어드벤처,일정: 출시 (2000.10.01),ETC ETC,10,2,0,http://bbs.ruliweb.com/game/3555,http://bbs.ruliweb.com/game/3555/review
3794,바이오 하자드 제로 HD 리마스터,"장르: 어드벤처, 액션","일정: 출시 (2008.07.10), 출시 (2002.11.12), 출시 (2016.01.20), 출시 (2016.01.21)",Wii ETC PC/ON PS4 XONE,8.3,13,0,http://bbs.ruliweb.com/game/3556,http://bbs.ruliweb.com/game/3556/review
3795,강철천사 쿠루미,장르: 액션,일정: 출시 (1999.11.30),PC/ON ETC,0,0,0,http://bbs.ruliweb.com/game/3557,http://bbs.ruliweb.com/game/3557/review
3796,프론트 미션 3,장르: RPG,"일정: 출시 (1999.09.01), 출시 (2009.03.24), 출시 (2010.08.05)",PS2 PS3 PSN,0,0,0,http://bbs.ruliweb.com/game/3558,http://bbs.ruliweb.com/game/3558/review
3797,와일드 암즈 2: 이그니션,장르: RPG,일정: 출시 (1999.09.01),PS2,0,0,0,http://bbs.ruliweb.com/game/3560,http://bbs.ruliweb.com/game/3560/review
3798,드래곤 퀘스트 7,장르: RPG,"일정: 출시 (2000.08.26), 출시 (2013.02.07), 출시 (2015.09.17)",PS2 3DS Apple ETC,9,19,0,http://bbs.ruliweb.com/game/3561,http://bbs.ruliweb.com/game/3561/review
3799,두근두근 메모리얼 2,"장르: 연애, 시뮬레이션",일정: 출시 (1999.11.25),PS2,0,0,0,http://bbs.ruliweb.com/game/3562,http://bbs.ruliweb.com/game/3562/review
3800,스트리트 파이트 EX2 플러스,"장르: 격투, 액션",일정: 출시 (1999.12.22),PS2,0,0,0,http://bbs.ruliweb.com/game/3563,http://bbs.ruliweb.com/game/3563/review
